agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Texas Department of Insurance,TX-INS,2020,"Sentinel Insurance Company, Ltd.",,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206349.pdf,,3645912,Hartford Financial Services,US4165151048,874766,20200921,10000,0,10000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20200521,state,agency action,,,,,Hartford Financial Services,US4165151048,874766,
Texas Department of Insurance,TX-INS,2017,Trumbull Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2017.asp,,3431026,Hartford Financial Services,US4165151048,874766,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20170706,state,agency action,,,,,Hartford Financial Services,US4165151048,874766,
Texas Department of Insurance,TX-INS,2016,Twin City Fire Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp?page=3,,3430829,Hartford Financial Services,US4165151048,874766,20200615,9500,0,9500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20160226,state,agency action,,,,,Hartford Financial Services,US4165151048,874766,
Texas Department of Insurance,TX-INS,2017,Twin City Fire Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2017.asp?page=2,,3430965,Hartford Financial Services,US4165151048,874766,20200615,8500,0,8500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20170110,state,agency action,,,,,Hartford Financial Services,US4165151048,874766,
Texas Department of Insurance,TX-INS,2010,Methodist Hospital,,,,TX,,workers compensation,,"Division of Workers' Compensation Announces September Enforcement Actions, Targeted News Service, October 21, 2010 (via Nexis).",,3430414,Houston Methodist,,,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20100929,state,agency action,,,,,Houston Methodist,,,
Texas Department of Insurance,TX-INS,2011,Methodist Hospital,San Antonio,,,TX,,workers compensation,,"Texas Workers' Comp Enforcements for February Include $40K in Fines, Insurance Journal, March 10, 2011 (via Nexis).",,3430480,Houston Methodist,,,20200615,6000,0,6000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20110221,state,agency action,,,,,Houston Methodist,,,
Justice Department Criminal Division,DOJ_CRIMINAL,2012,HSBC Holdings plc HSBC Bank USA N.A.,,,,,,"HSBC Holdings plc and HSBC Bank USA N.A. agreed to forfeit $1.256 billion and enter into a deferred prosecution agreement with the Justice Department for HSBC's alleged violations of the Bank Secrecy Act, the International Emergency Economic Powers Act and the Trading with the Enemy Act.",,https://www.justice.gov/opa/pr/hsbc-holdings-plc-and-hsbc-bank-usa-na-admit-anti-money-laundering-and-sanctions-violations,,191983,HSBC,GB0005405286,,20160603,1256000000,0,1256000000,,criminal,deferred prosecution agreement,financial offenses,anti-money-laundering deficiencies,economic sanction violation,,,,20121211,federal,agency action,,,,,HSBC,GB0005405286,,
,,2021,Hyundai Motor America,,,,,,Hyundai Motor America agreed to a settlement worth up to $1.3 billion to settle a consolidated class of claims that Hyundai and its subsidiary Kia sold vehicles with defective engines that could catch fire.,,https://www.law360.com/classaction/articles/1383291/drivers-win-final-ok-on-1-3b-hyundai-kia-engine-flaw-deal,,4199923,Hyundai Motor,KR7005380001,,20211216,1300000000,0,1300000000,,civil,,safety-related offenses,product safety violation,,,8:17cv838,,20210510,federal,private litigation,Central District of California,In Re: Kia Engine Litigation,settlement,https://ecf.cacd.uscourts.gov/cgi-bin/DktRpt.pl?677896,Hyundai Motor,KR7005380001,,
,,2013,"DePuy Orthopaedics, Inc.",,,,,,"DePuy Orthopaedics, a subsidiary of Johnson & Johnson, agreed to pay more than $2 billion to settle multi-district litigation relating to faulty hip implants.",,http://www.nytimes.com/2013/11/20/business/johnson-johnson-to-offer-2-5-billion-hip-device-settlement.html?_r=0,,4199998,Johnson & Johnson,US4781601046,200406,20211216,2475000000,0,2475000000,,civil,,safety-related offenses,drug or medical equipment safety violation,product safety violation,,1:10md2197,,20131119,federal,private litigation,Northern District of Ohio,ASR Hip Implant Products Liability Litigation,settlement,https://ecf.ohnd.uscourts.gov/cgi-bin/DktRpt.pl?170981,Johnson & Johnson,US4781601046,200406,
Multistate Attorneys General Case,MULTI-AG,2021,Johnson & Johnson,,,,,,"Johnson & Johnson, the parent company of Janssen Pharmaceuticals, reached an agreement with a group of states under which it would pay $5 billion to resolve Janssen's involvement in litigation alleging improper sale of pain medications, contributing to the national opioid epidemic.",,https://ncdoj.gov/attorney-general-josh-stein-announces-26-billion-agreement-with-opioid-distributors-manufacturer/,,3963978,Johnson & Johnson,US4781601046,200406,20210917,5000000000,0,5000000000,,civil,,healthcare-related offenses,off-label or unapproved promotion of medical products,,,,,20210721,state,agency action,,,,,Johnson & Johnson,US4781601046,200406,
,,2021,Johnson & Johnson,,,,,,"In 2018 a Missouri state jury awarded $4 billion in damages to a group of women who claimed they developed ovarian cancer from using Johnson & Johnson's talcum powder. A state appeals court reduced the award to $2.1 billion. That award was upheld by the Missouri Supreme Court. After the U.S. Supreme Court refused to hear J&J appeal, the company paid the award plus interest, reporting the total as $2.5 billion.",,https://www.sec.gov/ix?doc=/Archives/edgar/data/200406/000020040621000070/jnj-20211003.htm,,4199922,Johnson & Johnson,US4781601046,200406,20211216,2500000000,0,2500000000,,civil,,safety-related offenses,product safety violation,,,,,20210601,federal,private litigation,St. Louis City (Missouri) Circuit Court,Ingham v. Johnson & Johnson et al.,verdict,,Johnson & Johnson,US4781601046,200406,
Food and Drug Administration referral to the Justice Department,FDA,2013,Johnson & Johnson,,,,,,"Global health care giant Johnson & Johnson and its subsidiaries agreed to pay more than $2.2 billion to resolve criminal and civil liability arising from allegations relating to the prescription drugs Risperdal, Invega and Natrecor, including promotion for uses not approved as safe and effective by the Food and Drug Administration and payment of kickbacks to physicians and to the nation's largest long-term care pharmacy provider. The global resolution is one of the largest health care fraud settlements in U.S. history, including criminal fines and forfeiture totaling $485 million and civil settlements with the federal government and states totaling $1.72 billion.",,http://www.justice.gov/opa/pr/johnson-johnson-pay-more-22-billion-resolve-criminal-and-civil-investigations,,16314,Johnson & Johnson,US4781601046,200406,20151011,2200000000,0,2200000000,,civil and criminal,,healthcare-related offenses,off-label or unapproved promotion of medical products,kickbacks and bribery,,,,20131104,federal,agency action,,,,,Johnson & Johnson,US4781601046,200406,
Multistate Attorneys General Case,MULTI-AG,2008,JP Morgan Chase & Co.,,,,,,JPMorgan Chase and Morgan Stanley agreed to buy back $7 billion in securities as part of the resolution of multistate litigation alleging they misled customers in the marketing and sale of auction rate securities. The announcement did not specify how much each company would buy back. Here we assume the total was divided evenly between them. They also agreed to pay civil penalties; for JPMorgan the amount was $25 million. ,,https://web.archive.org/web/20100215072448/http://www.ag.ny.gov/media_center/2008/aug/aug14a_08.html,,3190818,JPMorgan Chase,US46625H1005,19617,20190907,3525000000,0,3525000000,,civil,,financial offenses,investor protection violation,,,,,20080814,state,agency action,,,,,JPMorgan Chase,US46625H1005,19617,
Office of the Comptroller of the Currency,OCC,2013,JPMorgan Chase,,,,,,Ten mortgage servicing companies subject to enforcement actions for deficient practices in mortgage loan servicing and foreclosure processing reached an agreement in principle with the Office of the Comptroller of the Currency and the Federal Reserve Board to pay more than $8.5 billion in cash payments and other assistance to help borrowers.,,http://www.occ.gov/static/enforcement-actions/ea2013-129.pdf,,191776,JPMorgan Chase,US46625H1005,19617,20160603,1958450341,0,1958450341,,civil,,financial offenses,banking violation,mortgage abuses,,,,20130107,federal,agency action,,,,,JPMorgan Chase,US46625H1005,19617,
Multistate Attorneys General Case,MULTI-AG,2012,JPMorgan Chase,,,,,,"Bank of America, Wells Fargo, Citigroup, JPMorgan Chase, and Ally Financial agreed to pay a total of $5 billion in direct payments to resolve multistate litigation concerning abuses in their mortgage servicing and foreclosure practices; $4.25 billion of the total was to go to the states. This was part of the larger $25 billion National Mortgage Settlement that also included $20 billion in relief to borrowers; see the Violation Tracker entry for JPMorgan Chase at https://violationtracker.goodjobsfirst.org/violation-tracker/-jpmorgan-chase-and-co-2.  The JPMorgan settlement document linked below puts the company's share of the direct payments at $1,121,188,661.",,https://www.iowaattorneygeneral.gov/newsroom/miller-announces-25-billion-joint-state-federal-mortgage-servicing-settlement-on-foreclosure-wrongs/,,3190822,JPMorgan Chase,US46625H1005,19617,20190907,1121188661,1121188661,0,,civil,,consumer-protection-related offenses,mortgage abuses,,,1:12-cv-0361,,20120209,state,agency action,District of the District of Columbia,United States of America et al. v. Bank of America Corporation et al.,,https://ecf.dcd.uscourts.gov/cgi-bin/DktRpt.pl?153229,JPMorgan Chase,US46625H1005,19617,
Multistate Attorneys General Case,MULTI-AG,2013,JPMorgan Chase,,,,,,"JPMorgan Chase agreed to pay more than $1 billion to five states to settle litigation involving allegations of misrepresentations in the packaging, marketing, sale and issuance of residential mortgage-backed securities by JPMorgan, Bear Stearns and Washington Mutual. The five states were California ($298.9 million), Delaware ($19.7 million), Illinois ($100 million), Massachusetts ($34.4 million) and New York ($613 million). This was part of a larger $13 billion settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-jpmorgan-chase-3",,https://www.justice.gov/opa/pr/justice-department-federal-and-state-partners-secure-record-13-billion-global-settlement,,3190824,JPMorgan Chase,US46625H1005,19617,20190907,1066000000,1066000000,0,,civil,,financial offenses,toxic securities abuses,,,,,20131119,state,agency action,,,,,JPMorgan Chase,US46625H1005,19617,
Justice Department multiagency referral,DOJ,2012,JPMorgan Chase & Co.,,,,,,The federal government and 49 state attorneys general reached a $25 billion agreement with the nation's five largest mortgage servicers to address mortgage loan servicing and foreclosure abuses. The penalty figure is the total of the amounts specified in the the individual company's consent judgment for direct payments and homeowner relief.,,https://d9klfgibkcquc.cloudfront.net/Consent_Judgment_Chase-4-11-12.pdf,,191933,JPMorgan Chase,US46625H1005,19617,20160603,5333600000,0,5333600000,,civil,,consumer-protection-related offenses,mortgage abuses,,,,,20120209,federal,agency action,,,,,JPMorgan Chase,US46625H1005,19617,
U.S. Attorney-Southern District of New York,USAO,2014,JPMorgan Chase Bank,,,,,,The United States Attorney for the Southern District of New York annnounced a deferred prosecution agreement relating to criminal charges and a settlement of civil claims against JPMorgan Chase Bank in connection with the bank's relationship with Bernard L. Madoff Investment Securities.,,https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-and-fbi-assistant-director-charge-announce-filing-criminal,,192329,JPMorgan Chase,US46625H1005,19617,20160603,1700000000,0,1700000000,,civil and criminal,deferred prosecution agreement,financial offenses,anti-money-laundering deficiencies,,,,,20140107,federal,agency action,,,,,JPMorgan Chase,US46625H1005,19617,
Multistate Attorneys General Case,MULTI-AG,2003,El Paso Corporation,,,,,,"State negotiators in California finalized a settlement with El Paso Corporation that would provide $1.45 billion in relief to electricity and gas ratepayers. The deal resolved an investigation of the company's role in the California energy crisis of 2000-2001. Approximately $92 million of the settlement went to the states of Oregon, Washington and Nevada.",,https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-finalization-el-paso-settlement-gives,,3188926,Kinder Morgan,US49456B1017,1506307,20190907,1450000000,0,1450000000,,civil,,competition-related offenses,energy market manipulation,,,,,20030626,state,agency action,,,,,El Paso Corporation,US28336L1098,1066107,Kinder Morgan bought El Paso Corporation in 2012
Texas Department of Insurance,TX-INS,2019,"American Medical Response Ambulance Service, Inc.",,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc195910.pdf,,3431235,KKR & Co.,US48251W1045,1404912,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190320,state,agency action,,,,,KKR & Co.,US48251W1045,1404912,
Texas Department of Insurance,TX-INS,2019,"American Medical Response Ambulance Service, Inc.",Dallas,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206141.pdf,,3431299,KKR & Co.,US48251W1045,1404912,20200615,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20191112,state,agency action,,,,,KKR & Co.,US48251W1045,1404912,
Texas Department of Insurance,TX-INS,2020,"American Medical Response Ambulance Service, Inc.",,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206375.pdf,,3645902,KKR & Co.,US48251W1045,1404912,20200921,7500,0,7500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20200629,state,agency action,,,,,KKR & Co.,US48251W1045,1404912,
,,2013,Knauf Plasterboard Tianjin,,,,,,"Knauf Plasterboard Tianjin, a subsidiary of the German company Knauf, agreed to a settlement estimated to be worth up to $1 billion to resolve is role in multi-district litigation concerning defective drywall that emitted noxious odors. ",,https://www.law360.com/articles/293886/knauf-settles-chinese-drywall-claims-for-up-to-1b,,4200005,Knauf,,,20211216,1000000000,0,1000000000,,civil,,safety-related offenses,product safety violation,,,2:09-md-02047,,20130207,federal,private litigation,Eastern District of Louisiana,In Re: Chinese-Manufactured Drywall Products Liability Litigation,settlement,https://ecf.laed.uscourts.gov/cgi-bin/DktRpt.pl?133532,Knauf,,,
Texas Department of Insurance,TX-INS,2014,Liberty Insurance Corporation,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp,,3430722,Liberty Mutual Insurance,,,20200615,9000,0,9000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20141202,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2016,Liberty Insurance Corporation,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp?page=2,,3430880,Liberty Mutual Insurance,,,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20160707,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2016,Liberty Insurance Corporation,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp,,3430942,Liberty Mutual Insurance,,,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20161104,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2019,Liberty Insurance Corporation,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc206139.pdf,,3431297,Liberty Mutual Insurance,,,20200615,6500,0,6500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20191108,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2016,Liberty Mutual Fire Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp?page=2,,3430847,Liberty Mutual Insurance,,,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20160413,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2013,Liberty Mutual Fire Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2013.asp?page=2,,3430604,Liberty Mutual Insurance,,,20200615,7000,0,7000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20130322,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2019,Liberty Mutual Insurance Company,,,,TX,,workers compensation,,https://www.tdi.texas.gov/wc/orders/documents/dwc196099.pdf,,3431285,Liberty Mutual Insurance,,,20200615,10000,0,10000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20190930,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2016,LM Insurance Corporation,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp?page=2,,3430866,Liberty Mutual Insurance,,,20200615,6500,0,6500,,civil,,consumer-protection-related offenses,insurance violation,,,,,20160601,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2016,LM Insurance Corporation,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2016.asp,,3430960,Liberty Mutual Insurance,,,20200615,6300,0,6300,,civil,,consumer-protection-related offenses,insurance violation,,,,,20161219,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2014,Netherlands Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=6,,3430631,Liberty Mutual Insurance,,,20200615,6801,0,6801,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140221,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2012,The Netherlands Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2012.asp?page=3,,3430564,Liberty Mutual Insurance,,,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20120518,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2014,The Netherlands Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp,,3430720,Liberty Mutual Insurance,,,20200615,6000,0,6000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20141119,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2013,Wausau Underwriters Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2013.asp?page=2,,3430614,Liberty Mutual Insurance,,,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20130717,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2015,Wausau Underwriters Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2015.asp?page=2,,3430785,Liberty Mutual Insurance,,,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20150727,state,agency action,,,,,Liberty Mutual Insurance,,,
Texas Department of Insurance,TX-INS,2014,"American Casualty Company of Reading, Pennsylvania",,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=3,,3430654,Loews Corp.,US5404241086,60086,20200615,7312,0,7312,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140409,state,agency action,,,,,Loews Corp.,US5404241086,60086,
Texas Department of Insurance,TX-INS,2014,Continental Casualty Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=3,,3430656,Loews Corp.,US5404241086,60086,20200615,9324,0,9324,,civil,,consumer-protection-related offenses,insurance violation,,,,,20140409,state,agency action,,,,,Loews Corp.,US5404241086,60086,
Texas Department of Insurance,TX-INS,2017,Valley Forge Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2017.asp,,3431020,Loews Corp.,US5404241086,60086,20200615,8000,0,8000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20170627,state,agency action,,,,,Loews Corp.,US5404241086,60086,
Texas Department of Insurance,TX-INS,2014,Valley Forge Insurance Company,,,,TX,,workers compensation,,https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp,,3430732,Loews Corp.,US5404241086,60086,20200615,6000,0,6000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20141219,state,agency action,,,,,Loews Corp.,US5404241086,60086,
Multistate Attorneys General Case,MULTI-AG,2020,Mallinckrodt,,,,,,Mallinckrodt agreed to pay $1.6 billion to settle multistate litigation over its role in the opioid crisis.,,https://www.oag.ca.gov/news/press-releases/attorney-general-becerra-16-billion-global-settlement-opioid-manufacturer,,3416584,Mallinckrodt,IE00BBGT3753,1567892,20200309,1600000000,0,1600000000,,civil,,healthcare-related offenses,Controlled Substances Act violation,,,,,20200225,state,agency action,,,,,Mallinckrodt,IE00BBGT3753,1567892,
Texas Department of Insurance,TX-INS,2011,Memorial Hermann Hospital System,,,,TX,,workers compensation,,"Texas Workers' Comp Enforcements for February Include $40K in Fines, Insurance Journal, March 10, 2011 (via Nexis).",,3430479,Memorial Hermann Health System,,,20200615,6000,0,6000,,civil,,consumer-protection-related offenses,insurance violation,,,,,20110221,state,agency action,,,,,Memorial Hermann Health System,,,
Environmental Protection Agency referral to the Justice Department,EPA,2020,Daimler AG,,,,,,"The U.S. Department of Justice, Environmental Protection Agency, and California Air Resources Board announced a $1.5 billion settlement with German automaker Daimler AG and its American subsidiary Mercedes-Benz USA, LLC resolving alleged violations of the Clean Air Act and California law associated with emissions cheating. The settlement included $945 million in penalties and $534 million to extend vehicle warranties and to pay for mitigation projects.",,https://www.justice.gov/opa/pr/us-reaches-15-billion-settlement-daimler-ag-over-emissions-cheating-mercedes-benz-diesel,,3645169,Mercedes-Benz Group,DE0007100000,,20200921,1500000000,0,1500000000,,civil,,environment-related offenses,environmental violation,,,,,20200914,federal,agency action,,,,,Mercedes-Benz Group,DE0007100000,,Daimler AG changed its name to Mercedez-Benz Group in 2022.
,,2007,Merck & Co.,,,,,,Merck agreed to pay a total of $4.85 billion to settle multi-district litigation brought by thousands of plaintiffs claiming the company's heavily promoted anti-inflammatory drug Vioxx caused injury or death. The settlement agreement is here: https://www.sec.gov/Archives/edgar/data/64978/000095012307015538/y42609exv10w1.htm,,https://www.nytimes.com/2007/11/09/business/09cnd-merck.html,,4200030,Merck,US58933Y1055,310158,20211216,4850000000,0,4850000000,,civil,,safety-related offenses,drug or medical equipment safety violation,product safety violation,,2:05-md-01657,,20071109,federal,private litigation,Eastern District of Louisiana,Re: Vioxx Products Liability Litigation,settlement,https://ecf.laed.uscourts.gov/cgi-bin/DktRpt.pl?25845,Merck,US58933Y1055,310158,
Internal Revenue Service,IRS,2007,"Merck & Co., Inc.",,,,,,"The IRS entered into an agreement that resolved several disputed tax issues with Merck & Co., Inc. and its subsidiaries. The agreement resulted in a payment to the government of approximately $2.3 billion in federal tax, net interest and penalties, and resolved all issues that had been in dispute between the parties for the tax years 1993-2001. Among the significant issues resolved were three issues that resulted from Merck's use of minority equity interest financing transactions. ",,https://www.irs.gov/newsroom/merck-agrees-to-pay-irs-23-billion,,3653542,Merck,US58933Y1055,310158,20210315,2300000000,0,2300000000,,civil,,financial offenses,tax violations,,,,,20070224,federal,agency action,,,,,Merck,US58933Y1055,310158,
Federal Trade Commission,FTC,2019,"Facebook, Inc.",,,,,,"Facebook, Inc. agreed to pay a $5 billion penalty and submit to new restrictions and a modified corporate structure that will hold the company accountable for the decisions it makes about user privacy, to settle Federal Trade Commission charges that the company violated a 2012 order by deceiving users about their ability to control the privacy of their personal information.",,https://www.ftc.gov/news-events/press-releases/2019/07/ftc-imposes-5-billion-penalty-sweeping-new-privacy-restrictions,,3189227,Meta Platforms Inc.,US30303M1027,1326801,20190907,5000000000,0,5000000000,,civil,,consumer-protection-related offenses,privacy violation,,,,,20190724,federal,agency action,,,,,Meta Platforms Inc.,US30303M1027,1326801,In 2021 Facebook Inc. changed the name of its parent to Meta Platforms
Multistate Attorneys General Case,MULTI-AG,2008,Morgan Stanley,,,,,,JPMorgan Chase and Morgan Stanley agreed to buy back $7 billion in securities as part of the resolution of multistate litigation alleging they misled customers in the marketing and sale of auction rate securities. The announcement did not specify how much each company would buy back. Here we assume the total was divided evenly between them. They also agreed to pay civil penalties; for Morgan Stanley the amount was $35 million. ,,https://web.archive.org/web/20100215072448/http://www.ag.ny.gov/media_center/2008/aug/aug14a_08.html,,3192009,Morgan Stanley,US6174464486,895421,20190907,3535000000,0,3535000000,,civil,,financial offenses,investor protection violation,,,,,20080814,state,agency action,,,,,Morgan Stanley,US6174464486,895421,
Justice Department multiagency referral,DOJ,2016,Morgan Stanley,,,,,,"The Justice Department announced that Morgan Stanley agreed to pay a $2.6 billion penalty to resolve claims related to its marketing, sale and issuance of residential mortgage-backed securities.",,https://www.justice.gov/opa/pr/morgan-stanley-agrees-pay-26-billion-penalty-connection-its-sale-residential-mortgage-backed,,191902,Morgan Stanley,US6174464486,895421,20160603,2600000000,0,2600000000,,civil,,financial offenses,toxic securities abuses,,,,,20160211,federal,agency action,,,,,Morgan Stanley,US6174464486,895421,
Federal Housing Finance Agency,FHFA,2014,Morgan Stanley,,,,,,The Federal Housing Finance Agency announced a settlement with Morgan Stanley resolving alleged violations of federal and state securities laws and common law fraud in connection with private-label mortgage-backed securities purchased by Fannie Mae and Freddie Mac between 2005 and 2007.,,http://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$1-25-Billion-Settlement-With-Morgan-Stanley.aspx,,192171,Morgan Stanley,US6174464486,895421,20160603,1250000000,0,1250000000,,civil,,financial offenses,toxic securities abuses,,,,,20140207,federal,agency action,,,,,Morgan Stanley,US6174464486,895421,
Justice Department Civil Division,DOJ_CIVIL,2018,Royal Bank of Scotland Group plc,,,,,,The Justice Department announced a $4.9 billion settlement with The Royal Bank of Scotland Group plc resolving federal civil claims that RBS misled investors in the underwriting and issuing of residential mortgage-backed securities between 2005 and 2008.,,https://www.justice.gov/opa/pr/royal-bank-scotland-agrees-pay-49-billion-financial-crisis-era-misconduct,,2098740,NatWest Group PLC,GB00B7T77214,,20180907,4900000000,0,4900000000,,civil,,financial offenses,toxic securities abuses,,,,,20180814,federal,agency action,,,,,NatWest Group PLC,GB00B7T77214,,RBS Group changed its name to NatWest Group in 2020
Federal Housing Finance Agency,FHFA,2017,Royal Bank of Scotland PLC,,,,,,"The Federal Housing Finance Agency, as conservator of Fannie Mae and Freddie Mac, reached a settlement with Royal Bank of Scotland Group plc, related companies and specifically named individuals for $5.5 billion. The settlement resolved all claims in the lawsuit, FHFA v. The Royal Bank of Scotland Group plc et al., Case No. 3:11-cv-1383 in the United States District Court for the District of Connecticut.",,https://www.fhfa.gov/Media/PublicAffairs/Pages/FHFA-Announces-$5pt5-Billion-Settlement-with-Royal-Bank-of-Scotland.aspx,,754049,NatWest Group PLC,GB00B7T77214,,20170726,5500000000,0,5500000000,,civil,,financial offenses,toxic securities abuses,,,,,20170712,federal,agency action,,,,,NatWest Group PLC,GB00B7T77214,,RBS Group changed its name to NatWest Group in 2020
Multistate Attorneys General Case,MULTI-AG,2022,Navient,,,,,,"Navient agreed to cancel over $1.7 billion in debt, pay $95 million in restitution and pay $147.5 million in costs in a settlement with 39 attorneys general of allegations of widespread unfair and deceptive practices and abuses in originating predatory student loans.",,https://www.azag.gov/press-release/attorney-general-mark-brnovich-announces-185-billion-settlement-student-loan-servicer,,4688924,Navient,US63938C1080,1593538,20220305,1850000000,0,1850000000,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20220113,state,agency action,,,,,Navient,US63938C1080,1593538,
Justice Department Criminal Division,DOJ_CRIMINAL,2017,Takata Corporation,,,,,,Tokyo-based Takata Corporation agreed to plead guilty to wire fraud and pay a total of $1 billion in criminal penalties stemming from the company's fraudulent conduct in relation to sales of defective airbag inflators.,,https://www.justice.gov/opa/pr/takata-corporation-agrees-plead-guilty-and-pay-1-billion-criminal-penalties-airbag-scheme,,210648,Ningbo Joyson Electronic,CNE000000DJ1,,20170117,1000000000,0,1000000000,,criminal,,competition-related offenses,fraud,motor vehicle safety violation,,,,20170113,federal,agency action,,,,,Takata,JP3359600008,,Ningbo Joyson acquired Takata in 2018.
